,artistId,name,relatedArtists,followers,popularity,genres
102,1Ztcq0hkmzT4gWfmWZx3wu,Soheil Nafisi,"['1aAvWm4c1RQ2HnxFQYGFKS', '2NzB7sjEg2k46XhFXeYi2v', '4srYvTD5HMdRWxpKRHsNfV', '4eVyI1yiHoRjVrxt5y7gGL', '4besYDIj6c0kONEoL2fFqP']",4160,18,"['classic persian pop', 'persian alternative']"
103,1aAvWm4c1RQ2HnxFQYGFKS,Dang Show,"['0tctijgZruddzQ8FCgvDj2', '1Ztcq0hkmzT4gWfmWZx3wu', '4eVyI1yiHoRjVrxt5y7gGL', '5Uj3HYkiz1cn32IPHMqhOy', '4srYvTD5HMdRWxpKRHsNfV']",6766,23,"['classic persian pop', 'persian alternative', 'persian traditional']"
104,5ZJVKcOJZ2liLXcMD8G4fG,Mazyar Fallahi,"['7kyv6pxakvg25qRWqq9vj7', '21bYSNzWliPW8JOHPMzx7X', '0iMvs2xig8hcY8LdFCSHKZ', '3Glr2udz0D2reg29xp4Zta', '3W7mWUVC6aDPAQX7yRFdz5']",5249,29,['persian pop']
105,1W5u8Bz2yimyuuI8QNYsNO,Shahin Najafi,"['0tctijgZruddzQ8FCgvDj2', '4tXhsMzLWZ1WL952nYBPTL', '4eVyI1yiHoRjVrxt5y7gGL', '5F3JQSbuDo4pWGLC2UTLTI', '42o3S5oDd4Q4YyMNRmN5oS']",18781,33,"['classic persian pop', 'conscious hip hop', 'persian alternative']"
106,4srYvTD5HMdRWxpKRHsNfV,Soheil Nafissi,"['1Ztcq0hkmzT4gWfmWZx3wu', '4eVyI1yiHoRjVrxt5y7gGL', '2NzB7sjEg2k46XhFXeYi2v', '1aAvWm4c1RQ2HnxFQYGFKS', '42o3S5oDd4Q4YyMNRmN5oS']",965,12,['persian alternative']
107,5F3JQSbuDo4pWGLC2UTLTI,The Ways,"['0tctijgZruddzQ8FCgvDj2', '4besYDIj6c0kONEoL2fFqP', '6V6v6VpsjWE28oeoAnqPhg', '5YoplpynBN976eNYXe9ZrF', '1aAvWm4c1RQ2HnxFQYGFKS']",2662,18,['persian alternative']
108,6V6v6VpsjWE28oeoAnqPhg,Kaveh Yaghmaei,"['0tctijgZruddzQ8FCgvDj2', '4eVyI1yiHoRjVrxt5y7gGL', '5F3JQSbuDo4pWGLC2UTLTI', '3IDPcBP4OoTNvm3b4h46cW', '1xA7r3Y1UGCp3rQMkgFXz4']",2167,15,"['classic persian pop', 'persian alternative']"
109,07L6XZ7QaTsZLP8jwLoFgY,Googoosh,"['2jvB5M73tBZlWybPmxIaw7', '5b1CDxqOGnXr5M1DUn2XQh', '3IDPcBP4OoTNvm3b4h46cW', '5WCHc16VvzVCmBKH70CYfw', '4NdEcxTgFXf083ttLRBZOE']",24899,39,"['azeri traditional', 'classic persian pop']"
110,1qJBncZ8HMjYqOtM8H6zfJ,Ahmad Shamlu,"['45EXJ1cQAEt8k2zIYHyLBm', '1Lvc9kIF7t5IQBu348jIWf', '3meYUCHyh5OayViOog5daw', '129o0b0q8hAgjrd7jDrbhP', '5Uj3HYkiz1cn32IPHMqhOy']",1141,15,[]
111,1Lvc9kIF7t5IQBu348jIWf,Ahmad Shamloo,"['0k71Q31iQEpUbesX8dQBUM', '45EXJ1cQAEt8k2zIYHyLBm', '5Uj3HYkiz1cn32IPHMqhOy', '3meYUCHyh5OayViOog5daw', '1qJBncZ8HMjYqOtM8H6zfJ']",1523,7,[]
112,5tJdqzQYWhaBSWzGVhqGUX,Alireza Ghorbani,"['5Uj3HYkiz1cn32IPHMqhOy', '3meYUCHyh5OayViOog5daw', '45EXJ1cQAEt8k2zIYHyLBm', '2NzB7sjEg2k46XhFXeYi2v', '1aAvWm4c1RQ2HnxFQYGFKS']",7188,24,"['classic persian pop', 'persian traditional']"
